Síterep,Link,Régió,Parkoló,Hegytető,Sípályák hossza,Szintkülönbség,Liftek száma,Szezon eleje,Szezon vége,Távolság Budapesttől,Felnőtt napijegy ára,Húzólift,Kombilift,Kék,Piros,Fekete,Ülőlift,Nagykabinos lift,Kiskabinos lift,Vonat
Mayrhofen - Zillertal,https://sielok.hu/siterep/mayrhofen-penken-ahorn-rastkogel-eggalm/,Tirol,630,2500,142.0,1870,44,2022.12.03.,2023.04.16.,719.0,65.0,17,1,44.0,66.0,32.0,17,2,7,0
Mieders - Serles,https://sielok.hu/siterep/mieders-serles/,Tirol,960,1674,5.7,714,5,2022.12.21.,2023.03.19.,736.0,39.0,4,0,2.2,3.5,0.0,0,0,1,0
Miesenbach - Wildwiese,https://sielok.hu/siterep/miesenbach/,Stájerország,1100,1256,2.0,156,2,,,307.0,,0,0,1.0,1.0,0.0,0,0,0,0
Modriach,https://sielok.hu/siterep/modriach/,Stájerország,1000,1230,6.0,230,4,,,429.0,20.0,4,0,5.0,1.0,0.0,0,0,0,0
Muttereralm,https://sielok.hu/siterep/muttereralm/,Tirol,897,1804,16.0,907,6,2022.12.16.,2023.03.19.,730.0,44.0,3,0,7.0,8.0,1.0,1,0,2,0
Mölltal gleccser,https://sielok.hu/siterep/molltal/,Karintia,2108,3122,36.0,1014,9,2022.11.10.,2023.05.29.,630.0,59.0,2,0,10.5,16.5,9.0,5,0,1,1
Mönichkirchen - Mariensee,https://sielok.hu/siterep/monichkirchen/,Alsó-Ausztria,865,1432,13.5,567,5,2022.12.17.,2023.03.19.,291.0,A síbérlet ára naponta változikKedvezményes síbérlet,2,0,5.5,6.0,2.0,3,0,0,0
Mönichwald,https://sielok.hu/siterep/monichwald/,Stájerország,1000,1300,5.5,300,4,,,300.0,28.0,4,0,1.5,4.0,0.0,0,0,0,0
Nassfeld - Hermagor,https://sielok.hu/siterep/nassfeld/,Karintia,600,2002,110.0,1402,30,2022.12.07.,2023.04.10.,601.0,56.5,16,0,30.0,69.0,11.0,9,0,5,0
Nesselwängle,https://sielok.hu/siterep/nesselwangle/,Tirol,1150,1671,13.0,521,6,,,774.0,43.0,5,0,5.0,7.0,1.0,1,0,0,0
Neustift - Elfer,https://sielok.hu/siterep/neustift/,Tirol,981,2080,2.5,1099,3,2022.12.23.,2023.03.19.,745.0,38.0,2,0,0.0,2.5,0.0,0,0,1,0
Niederalpl - Mürzsteg,https://sielok.hu/siterep/niederalpl/,Stájerország,1220,1460,12.0,240,6,2022.12.16.,2023.03.12.,344.0,38.0,5,0,4.0,8.0,0.0,1,0,0,0
Nordkette - Innsbruck,https://sielok.hu/siterep/nordpark/,Tirol,860,2256,13.9,1396,6,2022.12.25.,2023.04.23.,726.0,34.0,1,0,0.5,13.0,0.4,2,2,0,1
Obdach - Rieseralm,https://sielok.hu/siterep/obdach-rieseralm/,Stájerország,1310,1520,12.0,210,5,,,432.0,30.0,5,0,4.0,6.0,2.0,0,0,0,0
Obergurgl - Hochgurgl,https://sielok.hu/siterep/obergurgl/,Tirol,1793,3030,112.2,1237,26,2022.11.17.,2023.04.23.,820.0,64.0,8,0,60.2,33.2,18.8,7,0,11,0
Obertauern,https://sielok.hu/siterep/obertauern/,Salzburg,1630,2313,100.0,683,26,2022.11.25.,2023.05.01.,521.0,53.0,6,2,61.0,35.0,4.0,17,0,1,0
Oberzeiring - Familienskilift Pölstal,https://sielok.hu/siterep/oberzeiring/,Stájerország,932,980,0.4,48,1,,,429.0,,1,0,0.4,0.0,0.0,0,0,0,0
Obsteig - Grünberg,https://sielok.hu/siterep/obsteig-gruenberg/,Tirol,1030,1102,1.3,72,5,2022.12.23.,2023.03.12.,771.0,20.0,5,0,1.0,0.3,0.0,0,0,0,0
Partenen - Silvretta Bielerhöhe,https://sielok.hu/siterep/partenen-silvretta-bielerhoehe/,Vorarlberg,1910,2030,2.0,120,2,2022.12.25.,2023.05.01.,884.0,,1,0,2.0,0.0,0.0,0,1,0,0
